Name of Organization ,Service Type,Extra Filters,"Who are these services for? (refugees, asylees, TPS, parolees, any status, etc.)",Website,Summary of Services,Address,Coordinates (for mapping later on?),Neighborhood,Hours,Phone Number (for public to contact),Services offered in these languages
Boston Center for Refugee Health & Human Rights (program of Immigrant and Refugee Health Center at Boston Medical Center),"Healthcare, Community Education , Legal, Employment, Mental Health Services, Case Management",MBTA Accessible,"asylum seekers, refugees, torture survivors, families",https://www.bcrhhr.com/; https://www.bmc.org/immigrant-refugee-health-center ,"BCRHHR: Medical Care, Mental Health Services, Social Services, Evaluations for Asylum Cases, Legal Referrals, Career Development Services for Asylum Seekers, Support Groups

IRHC at BMC: 

The BMC Immigrant & Refugee Health Center (IRHC) works with providers across BMC to connect our patients with primary care, mental health care, medical specialty care, and social services, all tailored to the needs of immigrant and refugee patients. While we can help our patients connect with any services available across BMC, there are several departments and programs that are affiliated with our Center. In addition to the list below, we also provide:

Referrals for legal consultations for asylum seekers
Forensic psychological assessments 
Limited in-house development services for clients ","Dowling Building at BMC - 850 Harrison Ave 7th Floor, Boston, MA 02118",,"Roxbury, South End",M-F 9am-5pm,617-414-1994,English
U.S. Committee for Refugees and Immigrants,"Legal, Mental Health Services",Digital Resources Only,"asylum seekers, refugees, torture survivors, families",https://refugees.org/,,,,,,,English
Massachusetts Alliance of Portuguese Speakers (MAPS),"Legal, Mental Health Services, Healthcare, Employment","LGBTQ+ Friendly, MBTA Accessible","""Brazilian, Cabo Verdean, Portuguese and other Portuguese-speaking communities""",https://maps-inc.org/,"clinical (child and family), citizenship assistance, corrective intervention/education, DV/SA advocacy, driver's license for all, elder services, employment and career assistance, immigrant integration, translations; HEALTH: insurance assistance, HIV/STIs, mental health","697 Cambridge St., Suite 203
Brighton, MA 02135",,Brighton,9am-5pm,617-787-0557,
Greater Boston Food Bank,Food,Digital Resources Only,any status,https://www.gbfb.org/,"food pantries, soup kitchens, meal programs like SNAP/EBT, senior centers, etc","70 South Bay Avenue, Boston, MA 02118",,"South Boston, South End",8am-4:30pm,617.598.5000,English
Brazillian Worker Center (BWC),"Employment, Education",MBTA Accessible,,https://braziliancenter.org/,Provides services on educating immigrants on their rights and supporting them through the employment process,"14 Harvard Ave # 2, Allston, MA 02134",,Allston,M-F 10am-4pm,(617) 783-8001,English
NeighborHealth (formerly East Boston Community Health Center),Healthcare,MBTA Accessible,any status,https://www.neighborhealth.com/en/about/who-we-are/,"primary care, specialty care, healthcare overall","multiple locations, including Winthrop, Everett, Revere, South End",,"East Boston, South End, Greater Boston (not one of these neighborhoods)",8am-5pm most locations,varies per location,English
MIRA (Massachusetts Immigrant and Refugee Advocacy Coalition),"Legal, Education",MBTA Accessible,"immigrants, refugees, ",https://miracoalition.org/about-us/,"citizenship, immigrant assistance services program","69 Canal Street 3rd Floor, Boston, MA 02114",,"East Boston, South End",9am - 5pm,(617) 350-5480,English
Center to Support Immigrant Organizing,Community Education,MBTA Accessible,"immigrants, refugees, ",https://www.csioboston.org/,"The center supports and helps develop the work of individuals, groups, organizations and communities dedicated to organizing immigrants around the issues that affect their lives. The goal is to help immigrants in the forefront of community and workplace struggles to develop their power and leadership and succeed in life. ","89 South Street Suite 203, Boston, MA. 02111",,Downtown,9am - 5pm,(617) 742-5165,English
Greater Boston Legal Services,Legal,MBTA Accessible,"any status, immigrants, low income individuals",https://www.gbls.org/ ,provide free legal assistance to families and individuals living in poverty to help them assert their rights and secure the most basic necessities of life,"197 Friend Street Boston, MA 02114",,"Citywide , Greater Boston (not one of these neighborhoods)",9am - 5pm,617-371-1234,"Haitian Creole, English, Spanish (Latin America), Mandarin, Vietnamese"
YMCA Mobile Markets,Food,Digital Resources Only,any status,https://ymcaboston.org/mobilemarket/,"mobile trucks that provide produce and shelf-stable food products, all around greater boston",varies per truck location,,"Citywide , Greater Boston (not one of these neighborhoods)",varies per truck and location,,"English, Spanish (Latin America), Portuguese (Brazilian), Arabic, Mandarin"
Waldo Immigration and Refugee Services Inc,"Housing/Shelter, Education",MBTA Accessible,"refugees, immigrants",https://waldorefugee.org/#about,"Provides housing assistance, immigration referrals, free financial literacy programs and workshops","257 Roxbury Street, Roxbury MA 02119",,Roxbury,,781-408-8939 ,"Somali, English, Arabic, French"
African Community Economic Development of New England (ACEDONE),Education,,"students grades 1-12, most of whom are Boston residents/BPS students, and 1st/2nd generation immigrants from African Diaspora",https://www.acedone.org/youth-programs,"partners with families to help African refugees and immigrants in Boston develop a community by providing education services such as after-school tutoring, college prep, and leadership development for refugee youth ","89 South Street Suite 203, Boston, MA 02111 48 John Eliot Square, Roxbury MA 02119

",,"South Boston, Roxbury",9am - 5pm,(617)-708-0754,English
Political Asylum Immigration Representation Project (PAIR) ,Legal,MBTA Accessible,"asylum seekers, immigrants ",,works with their own and external services to provide legal services pro-bono to asylum seekers and immigrants requiring assistance additional services are extended through contact with other organizations,"98 N Washington st #106, Boston, MA 02114",,North End,9 am - 5 pm ,(617) 742 - 9296 ,English
